id,frag1,frag2,new_smiles
8763,*O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,*C(N)=O,C[C@H]1C=CC2=CCC[C@H](OC(N)=O)[C@@H]2[C@H]1CC[C@@H](O)C[C@@H](O)CC(=O)O
8764,*c1nc(SC)nc(N2CCNCC2)n1,*N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)Nc1nc(SC)nc(N2CCNCC2)n1
8765,*C[C@H](O)CO,*C(=O)c1nc(C)ccc1C,Cc1ccc(C)c(C(=O)C[C@H](O)CO)n1
8766,*n1nc(-c2ccc(OC)c(C)c2)c2c(N)ncnc21,*c1ccc(OC)c(C)c1,COc1ccc(-c2nn(-c3ccc(OC)c(C)c3)c3ncnc(N)c23)cc1C
8767,*N1C(=O)CCC1=O,*c1cc(CSc2nc3c(ccc4ncsc43)[nH]2)ncc1C,Cc1cnc(CSc2nc3c(ccc4ncsc43)[nH]2)cc1N1C(=O)CCC1=O
8768,*[C@H](C)c1cc(N)cc(C(F)(F)F)c1,*Cc1cccc(OCC(=O)[O-])c1,C[C@@H](Cc1cccc(OCC(=O)[O-])c1)c1cc(N)cc(C(F)(F)F)c1
8769,*C(=O)Cc1nc2nc(C)cc(C)n2n1,*N[C@H](C)c1cccc(OC)c1,COc1cccc([C@@H](C)NC(=O)Cc2nc3nc(C)cc(C)n3n2)c1
8770,*c1nc2c(c(-c3ccccc3)c1-c1nnn[nH]1)CCCCC2,*C(C)(C)C(=O)[O-],CC(C)(C(=O)[O-])c1nc2c(c(-c3ccccc3)c1-c1nnn[nH]1)CCCCC2
8771,*[C@@H]1O[C@H]([C@H](O)c2ccc(Cl)c(F)c2)[C@@H](O)[C@H]1O,*Cc1cc(C)on1,Cc1cc(C[C@@H]2O[C@H]([C@H](O)c3ccc(Cl)c(F)c3)[C@@H](O)[C@H]2O)no1
8772,*c1cn2ccc(NC(=O)c3c(C(=O)N(C)CCOC)cnn3C)cc2n1,*C(=O)OC,COCCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(C(=O)OC)nc2c1
8773,*Nc1c(Cl)c(OC)cc(OC)c1Cl,*N[C@@H]1C=NC[C@H]1NC(=O)c1ccc2[nH]ncc2c1,COc1cc(OC)c(Cl)c(NN[C@@H]2C=NC[C@H]2NC(=O)c2ccc3[nH]ncc3c2)c1Cl
8774,*Cc1cc(C)on1,*NC1(c2ccc(F)cc2)CC1,Cc1cc(CNC2(c3ccc(F)cc3)CC2)no1
8775,*[C@H](C)C1CC1,*C(=O)CC[C@@H](N)C(=O)[O-],C[C@@H](C(=O)CC[C@@H](N)C(=O)[O-])C1CC1
8776,*n1c(N2CCNCC2)nc2ccc(Cl)cc21,*C(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1,NC1(C(=O)n2c(N3CCNCC3)nc3ccc(Cl)cc32)CCN(c2ncnc3[nH]ccc23)CC1
8777,*c1nc(CCc2nc3ccccc3nc2C)n(C)n1,*Cc1nc(-c2ccccc2)cn1C,Cc1nc2ccccc2nc1CCc1nc(Cc2nc(-c3ccccc3)cn2C)nn1C
8778,*C(=O)c1cnn(C)c1C(=O)Nc1ccc2[nH]c(-c3ccccc3)nc2c1,*NCCC(=O)NCCS,Cn1ncc(C(=O)NCCC(=O)NCCS)c1C(=O)Nc1ccc2[nH]c(-c3ccccc3)nc2c1
8779,*CCc1ccccc1,*C(=O)C(=O)c1c[nH]c2ccccc12,O=C(CCc1ccccc1)C(=O)c1c[nH]c2ccccc12
8780,*N1CC[C@](N)(CNC(=O)c2ccc(F)cc2F)C1,*C(=O)[C@H](CCN)c1ccccc1,NCC[C@@H](C(=O)N1CC[C@](N)(CNC(=O)c2ccc(F)cc2F)C1)c1ccccc1
8781,*Nc1cnccn1,*[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,O=C(O)[C@H](Cc1c[nH]c2ccccc12)Nc1cnccn1
8782,*NC,*C(=O)c1cccn(Cc2ccc(F)c(F)c2)c1=O,CNC(=O)c1cccn(Cc2ccc(F)c(F)c2)c1=O
8783,*C(=O)C1CC1,*N1CCS(=O)(=O)CC1,O=C(C1CC1)N1CCS(=O)(=O)CC1
8784,*C=O,*Nc1ccn2nc(-c3ccccc3)nc2c1,O=CNc1ccn2nc(-c3ccccc3)nc2c1
8785,*N[C@@H](C)c1ccncc1,*c1nc2cc(CN3CCOCC3)ccc2[nH]1,C[C@H](Nc1nc2cc(CN3CCOCC3)ccc2[nH]1)c1ccncc1
8786,*NCCc1nc(-c2ccccc2)oc1C,*c1ccc2[nH]c(=O)[nH]c2c1,Cc1oc(-c2ccccc2)nc1CCNc1ccc2[nH]c(=O)[nH]c2c1
8787,*Nc1ccc(C)cc1,*NCC=C[C@H]1O[C@@H](n2cnc3c(NC)ncnc32)[C@H](O)[C@@H]1O,CNc1ncnc2c1ncn2[C@@H]1O[C@H](C=CCNNc2ccc(C)cc2)[C@@H](O)[C@H]1O
8788,*c1ncc(F)c(N(C)c2cccc3[nH]ncc23)n1,*N(Cc1ccccc1)[C@H](C)C(=O)NO,C[C@H](C(=O)NO)N(Cc1ccccc1)c1ncc(F)c(N(C)c2cccc3[nH]ncc23)n1
8789,*OC,*[C@H]1CC[C@H](O)CC1,CO[C@H]1CC[C@H](O)CC1
8790,*c1cc(-c2ccncc2)ccc1C(=O)N[C@H](C)c1cccc(OC)c1,*c1nc2ccc(C(N)=O)cc2[nH]1,COc1cccc([C@@H](C)NC(=O)c2ccc(-c3ccncc3)cc2-c2nc3ccc(C(N)=O)cc3[nH]2)c1
8791,*C=O,*CCCC[C@@H](C[C@@H](OC)c1ccc(F)cc1)C(=O)NO,CO[C@H](C[C@H](CCCCC=O)C(=O)NO)c1ccc(F)cc1
8792,*c1coc2cc(O)ccc2c1=O,*NCCCCc1cc2cnccc2s1,O=c1c(NCCCCc2cc3cnccc3s2)coc2cc(O)ccc12
8793,*c1nc(N2C=COCC2)c2cnn(C)c2n1,*N(C)CCN(C)c1cccc2sc(C(=N)N)cc12,CN(CCN(C)c1cccc2sc(C(=N)N)cc12)c1nc(N2C=COCC2)c2cnn(C)c2n1
8794,*c1nc2cc(NC(=O)c3c(COC)cnn3C)ccn2n1,*c1ccc2c(c1)CCC(=O)N2,COCc1cnn(C)c1C(=O)Nc1ccn2nc(-c3ccc4c(c3)CCC(=O)N4)nc2c1
8795,*C(=O)c1ccc2nc(N[C@H]3CC[C@H](O)CC3)c3nccn3c2c1,*S(=O)(=O)c1ccc(OC)cc1,COc1ccc(S(=O)(=O)C(=O)c2ccc3nc(N[C@H]4CC[C@H](O)CC4)c4nccn4c3c2)cc1
8796,*c1ccc2ncc(-c3ccc(C(=O)O)cc3)n2n1,*c1ncc(C(=O)OC)cn1,COC(=O)c1cnc(-c2ccc3ncc(-c4ccc(C(=O)O)cc4)n3n2)nc1
8797,*c1ccccc1CO,*[C@H](C)CC,CC[C@@H](C)c1ccccc1CO
8798,*c1ccnc(NC)c1,*c1cc(C[N@@H+]2CCC[C@@H](C)C2)ns1,CNc1cc(-c2cc(C[N@@H+]3CCC[C@@H](C)C3)ns2)ccn1
8799,*N1CC2(CNC2)C1,*C[C@@H](N)CC1=C2C=CCC=C2N=C1,N[C@@H](CC1=C2C=CCC=C2N=C1)CN1CC2(CNC2)C1
8800,*C(=O)c1c(C(=O)Nc2ccn3cc(-c4ccccc4)nc3n2)cnn1C,*N1C[C@H](C)N[C@H](C)C1,C[C@H]1CN(C(=O)c2c(C(=O)Nc3ccn4cc(-c5ccccc5)nc4n3)cnn2C)C[C@@H](C)N1
8801,*c1ccc(S(=O)(=O)C2CN(C(=O)CCCN(C)C)C2)cc1,*N(C)C,CN(C)CCCC(=O)N1CC(S(=O)(=O)c2ccc(N(C)C)cc2)C1
8802,*N(C)[C@H]1CCN([C@H]2CCC[C@@H](NC(=O)c3cc4c(F)ccc(C)c4[nH]3)C2)C1,*C(=O)c1cccc(C)n1,Cc1cccc(C(=O)N(C)[C@H]2CCN([C@H]3CCC[C@@H](NC(=O)c4cc5c(F)ccc(C)c5[nH]4)C3)C2)n1
8803,*Nc1ccn2cc(-c3ccccc3)nc2n1,*NCCC(=O)NCCSC(=O)CCCCC,CCCCCC(=O)SCCNC(=O)CCNNc1ccn2cc(-c3ccccc3)nc2n1
8804,*Nc1c(C(C)C)cc(Cl)cc1C(C)C,*NCC,CCNNc1c(C(C)C)cc(Cl)cc1C(C)C
8805,*c1ccnc(C)c1,*S(=O)(=O)c1ccc(F)c(C)c1,Cc1cc(S(=O)(=O)c2ccc(F)c(C)c2)ccn1
8806,*c1nc(C)cn2c(-c3cnn(CC(=O)Nc4cc[nH+]cc4F)c3)c[nH+]c12,*C(=O)c1ccc(F)cc1F,Cc1cn2c(-c3cnn(CC(=O)Nc4cc[nH+]cc4F)c3)c[nH+]c2c(C(=O)c2ccc(F)cc2F)n1
8807,*Nc1cc(Cl)c(OC)cc1OC,*Cc1nc2cc(C(F)(F)F)ccc2[nH]1,COc1cc(OC)c(NCc2nc3cc(C(F)(F)F)ccc3[nH]2)cc1Cl
8808,*C(=O)c1ccnc(Cl)c1Cl,*N1C(=O)CCC1=O,O=C1CCC(=O)N1C(=O)c1ccnc(Cl)c1Cl
8809,*C1CC1,*c1cnc(N)c(-c2ccc(S(C)(=O)=O)cc2)c1,CS(=O)(=O)c1ccc(-c2cc(C3CC3)cnc2N)cc1
8810,*CCc1c(O)c(Cl)c(C)c(C=O)c1O,*C(=O)CCCCCCCCCO,Cc1c(Cl)c(O)c(CCC(=O)CCCCCCCCCO)c(O)c1C=O
8811,*N[C@@H](C)c1ccccc1,*N[C@@H]1[C@@H](O)C=C(C(=O)O)O[C@H]1OC(CC)CC,CCC(CC)O[C@@H]1OC(C(=O)O)=C[C@H](O)[C@H]1NN[C@@H](C)c1ccccc1
8812,*C(=O)c1sc2nc(C)cnc2c1N,*NCc1ccc(C)c(C)c1,Cc1cnc2c(N)c(C(=O)NCc3ccc(C)c(C)c3)sc2n1
