id,frag1,frag2,new_smiles
35,*n1nc(-c2ccnn2-c2ccccc2)c(=O)cc1C,*Cn1cnc2c(NC3CC3)ncnc21,Cc1cc(=O)c(-c2ccnn2-c2ccccc2)nn1Cn1cnc2c(NC3CC3)ncnc21
36,*c1cc(O)n2ncc(C(=O)N[C@@H](C)CO)c2n1,*c1c2c(nc3cc(Cl)ccc13)CCCC2,C[C@@H](CO)NC(=O)c1cnn2c(O)cc(-c3c4c(nc5cc(Cl)ccc35)CCCC4)nc12
37,*c1nc(N)nc2sc(C(=O)NCC)cc12,*C(=O)CC#N,CCNC(=O)c1cc2c(C(=O)CC#N)nc(N)nc2s1
38,*C(=O)C(O)(C(F)(F)F)C(F)(F)F,*c1ccnc(NC)n1,CNc1nccc(C(=O)C(O)(C(F)(F)F)C(F)(F)F)n1
39,*c1ccnc(N2CC[C@H](F)C2)n1,*N1CCNC(=O)C1,O=C1CN(c2ccnc(N3CC[C@H](F)C3)n2)CCN1
40,*n1cnc2c(NCCN)ncnc21,*C(C)(C)c1ncccn1,CC(C)(c1ncccn1)n1cnc2c(NCCN)ncnc21
41,*Nc1cc(C(=O)NC)ccc1C,*n1nccc1-c1nn(-c2cccc(OC(F)(F)F)c2)ccc1=O,CNC(=O)c1ccc(C)c(Nn2nccc2-c2nn(-c3cccc(OC(F)(F)F)c3)ccc2=O)c1
42,*N[C@@H]1CNC[C@H]1c1ccccc1,*N(C)C,CN(C)N[C@@H]1CNC[C@H]1c1ccccc1
43,*c1nnc(N2CCN[C@@H](Cc3ccccc3)C2)cc1-c1ccncc1,*c1ccc2c(ccc(=O)n2C)c1,Cn1c(=O)ccc2cc(-c3nnc(N4CCN[C@@H](Cc5ccccc5)C4)cc3-c3ccncc3)ccc21
44,*C[C@@H](O)CCCCCCCC(=O)O,*C[C@@H](N)O,N[C@@H](O)CC[C@@H](O)CCCCCCCC(=O)O
45,*NCCC(=O)O,*c1nc(N(C)[C@H]2CCN(C)C2)nc2cc(C(C)(C)C)sc12,CN1CC[C@H](N(C)c2nc(NCCC(=O)O)c3sc(C(C)(C)C)cc3n2)C1
46,*c1ncccn1,*c1nc(N(C)[C@H]2CCN(C)C2)nc2cc(C(C)(C)C)sc12,CN1CC[C@H](N(C)c2nc(-c3ncccn3)c3sc(C(C)(C)C)cc3n2)C1
47,*C(=O)[C@@H](O)[C@H](N)Cc1ccccc1,*C(=O)c1ccc(N2CCCCC2)cc1,N[C@H](Cc1ccccc1)[C@H](O)C(=O)C(=O)c1ccc(N2CCCCC2)cc1
48,*c1cc(OC(C)(C)C)ccc1Cl,*c1ccn2nc(NC(=O)C(C)C)nc2c1,CC(C)C(=O)Nc1nc2cc(-c3cc(OC(C)(C)C)ccc3Cl)ccn2n1
49,*C(=O)[C@H](C)Nc1cc(=O)[nH]c2ccc(Nc3ccnc(Cl)c3C#N)cc12,*C(=O)NCC(C)(F)F,C[C@H](Nc1cc(=O)[nH]c2ccc(Nc3ccnc(Cl)c3C#N)cc12)C(=O)C(=O)NCC(C)(F)F
50,*N[C@H](C)C(C)C,*Nc1c(C)cccc1Cl,Cc1cccc(Cl)c1NN[C@H](C)C(C)C
51,*n1ccc(=O)c(-c2ccnn2-c2cc(F)ccc2F)n1,*c1cccnc1,O=c1ccn(-c2cccnc2)nc1-c1ccnn1-c1cc(F)ccc1F
52,*Cc1c[nH]c2ccc(C)cc12,*C(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1,Cc1ccc2[nH]cc(CC(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@H](N)Cc3ccccc3)c2c1
53,*C(=O)NC1CCC1,*c1ccc(C(=O)NC2CCN(C)CC2)cc1OC(F)(F)F,CN1CCC(NC(=O)c2ccc(C(=O)NC3CCC3)c(OC(F)(F)F)c2)CC1
54,*c1nc(Cl)nc2ccccc12,*C(=O)c1ccc2[nH]ncc2c1,O=C(c1ccc2[nH]ncc2c1)c1nc(Cl)nc2ccccc12
55,*C(=O)c1ccc2nc(C)c3nnc(-c4ccccc4)n3c2c1,*N1CCN(c2ccccc2[N+](=O)[O-])CC1,Cc1nc2ccc(C(=O)N3CCN(c4ccccc4[N+](=O)[O-])CC3)cc2n2c(-c3ccccc3)nnc12
56,*CCCCCCC(=O)[O-],*[C@H](C)c1ncccn1,C[C@@H](CCCCCCC(=O)[O-])c1ncccn1
57,*c1nc(N2CCC(O)CC2)nc(-n2ccnc2)n1,*C(=O)c1ccc(N(C)C)cc1,CN(C)c1ccc(C(=O)c2nc(N3CCC(O)CC3)nc(-n3ccnc3)n2)cc1
58,*C(=O)CN1CCN(C)CC1,*N[C@H](CC(C)C)C(=O)NO,CC(C)C[C@@H](NC(=O)CN1CCN(C)CC1)C(=O)NO
59,*c1ccco1,*Cc1cccnc1,c1cncc(Cc2ccco2)c1
60,*[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,*c1ccc(NC(=O)Nc2cc(C(F)(F)F)ccc2F)cc1,C[C@@H]1O[C@@H](c2ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)cc2)[C@H](O)[C@H](O)[C@H]1O
61,*c1cc(N2CC[NH+](CCO)CC2)nc(C)n1,*NC(=N)Cc1cccc(OC)c1,COc1cccc(CC(=N)Nc2cc(N3CC[NH+](CCO)CC3)nc(C)n2)c1
62,*CC1(O)CC1,*[C@@H](CCN(C)C)c1ccccc1,CN(C)CC[C@H](CC1(O)CC1)c1ccccc1
63,*c1cnc2ccc(NCC3CC3)nn12,*c1cncc(-c2ccc(N3CCNCC3)cc2)c1,c1cc(N2CCNCC2)ccc1-c1cncc(-c2cnc3ccc(NCC4CC4)nn23)c1
64,*c1ccc(O)cc1,*c1ccc(OC)c(OCCCC(=O)[O-])c1,COc1ccc(-c2ccc(O)cc2)cc1OCCCC(=O)[O-]
65,*n1c(N2CCNCC2)nc2ccc(Cl)cc21,*N1CC[C@H](N(C)CCCN(C)C)C1,CN(C)CCCN(C)[C@H]1CCN(n2c(N3CCNCC3)nc3ccc(Cl)cc32)C1
66,*c1ccnn1-c1ccc(F)cc1F,*c1nc(N2C[C@H](C)O[C@H](C)C2)ncc1Cl,C[C@H]1CN(c2ncc(Cl)c(-c3ccnn3-c3ccc(F)cc3F)n2)C[C@@H](C)O1
67,*C(=O)OCc1ccccc1,*CCc1nc(-c2ccc(F)cc2OCC)oc1C,CCOc1cc(F)ccc1-c1nc(CCC(=O)OCc2ccccc2)c(C)o1
68,*c1cccc(N)c1,*C(=O)C1CCN(c2nc(C)c(C(=O)OCC)cc2C#N)CC1,CCOC(=O)c1cc(C#N)c(N2CCC(C(=O)c3cccc(N)c3)CC2)nc1C
69,*N[C@@H](Cc1ccccc1)C(=O)Nc1ccc(CCC=O)cc1,*c1ccnn1-c1ccccc1F,O=CCCc1ccc(NC(=O)[C@H](Cc2ccccc2)Nc2ccnn2-c2ccccc2F)cc1
70,*c1ccc(C[C@@H](C(=O)O)C(C)=NOCCC)cc1,*C(=O)CO,CCCON=C(C)[C@@H](Cc1ccc(C(=O)CO)cc1)C(=O)O
71,*c1nc2ccccc2n2cccc12,*c1ccc2c(c1)cc(OCC(=O)NC)c(=O)n2C,CNC(=O)COc1cc2cc(-c3nc4ccccc4n4cccc34)ccc2n(C)c1=O
72,*Oc1ccc(C)cc1,*C[C@H](O)CN(CCOCC)S(=O)(=O)c1c(C)cccc1C,CCOCCN(C[C@@H](O)COc1ccc(C)cc1)S(=O)(=O)c1c(C)cccc1C
73,*C(C)(C)C(=O)O,*C(=O)c1ccc2[nH]ncc2c1,CC(C)(C(=O)O)C(=O)c1ccc2[nH]ncc2c1
74,*c1ccc(Oc2ccnc(-c3cnn(C)c3)c2)c(C)n1,*C(=O)Nc1ccncc1,Cc1nc(C(=O)Nc2ccncc2)ccc1Oc1ccnc(-c2cnn(C)c2)c1
75,*c1ccnc(Nc2ccc(-[n+]3cc[n+](C)cc3)cc2)n1,*[C@@H](CO)C(=O)O,C[n+]1cc[n+](-c2ccc(Nc3nccc([C@@H](CO)C(=O)O)n3)cc2)cc1
76,*c1ccc(F)cc1,*S(=O)(=O)c1ccc(N)cc1,Nc1ccc(S(=O)(=O)c2ccc(F)cc2)cc1
77,*CCC=CCC=CCC,*c1nnc[nH]1,CCC=CCC=CCCc1nnc[nH]1
78,*C[C@H](O)CO,*C1CC(F)(F)C1,OC[C@@H](O)CC1CC(F)(F)C1
79,*N1CCN(C(=O)c2ccc([N+](=O)[O-])c(C)c2)CC1,*c1nc(N(C)CCC#N)c2sccc2n1,Cc1cc(C(=O)N2CCN(c3nc(N(C)CCC#N)c4sccc4n3)CC2)ccc1[N+](=O)[O-]
80,*C(=O)CC,*c1cnc(NC(C)C)n(C)c1=O,CCC(=O)c1cnc(NC(C)C)n(C)c1=O
81,*N1CCC[C@H]1CC#N,*NCC(F)(F)F,N#CC[C@@H]1CCCN1NCC(F)(F)F
82,*n1c(N)c(C(N)=O)c2nc3ccccc3nc21,*CCC=CCC=CCC=CCC,CCC=CCC=CCC=CCCn1c(N)c(C(N)=O)c2nc3ccccc3nc21
83,*Nc1ccncc1Cl,*N1CCN(c2ncnc3sc(CC(F)(F)F)cc23)CC1,FC(F)(F)Cc1cc2c(N3CCN(Nc4ccncc4Cl)CC3)ncnc2s1
84,*c1cc(C#N)ncn1,*c1ccc(OC(C)(C)C(=O)O)cc1,CC(C)(Oc1ccc(-c2cc(C#N)ncn2)cc1)C(=O)O
85,*C(=O)c1cnc2ccccn12,*C(=O)c1ccccc1OC1CCNCC1,O=C(C(=O)c1cnc2ccccn12)c1ccccc1OC1CCNCC1
86,*N1CC(c2ncccn2)C1,*c1cnc(N2CCC(C(C)(C)O)CC2)c(C)c1,Cc1cc(N2CC(c3ncccn3)C2)cnc1N1CCC(C(C)(C)O)CC1
87,*CCCCCCNC(=O)CCC(=O)O,*C(=O)c1ccc(C)c(C#Cc2cnc3cccnn23)c1,Cc1ccc(C(=O)CCCCCCNC(=O)CCC(=O)O)cc1C#Cc1cnc2cccnn12
88,*CS(N)(=O)=O,*c1nc(=O)c2c(C)nc(CCC)n2[nH]1,CCCc1nc(C)c2c(=O)nc(CS(N)(=O)=O)[nH]n12
89,*OCC,*c1nnc(N2CCN[C@@H](Cc3ccccc3)C2)cc1-c1ccncc1,CCOc1nnc(N2CCN[C@@H](Cc3ccccc3)C2)cc1-c1ccncc1
90,*Nc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1,*Nc1cc(C(C)(C)C)nn1C,CC(C)n1nc(-c2ccc(NNc3cc(C(C)(C)C)nn3C)cc2)c2c(N)ncnc21
91,*N1Cc2c([nH]c(=O)c(C#N)c2-c2ccc(C)cc2)[C@@H](CCC)C1,*N1C[C@H](C)O[C@H](C)C1,CCC[C@H]1CN(N2C[C@H](C)O[C@H](C)C2)Cc2c1[nH]c(=O)c(C#N)c2-c1ccc(C)cc1
92,*c1cc(Cl)c(OC)cc1OC,*N1C[C@@H](C)[C@H](c2nc3c(cnn3C3CCOCC3)c(=O)[nH]2)C1,COc1cc(OC)c(N2C[C@@H](C)[C@H](c3nc4c(cnn4C4CCOCC4)c(=O)[nH]3)C2)cc1Cl
93,*[C@H](C)c1ccccc1,*Cn1cnc2c(NC3CC3)ncnc21,C[C@@H](Cn1cnc2c(NC3CC3)ncnc21)c1ccccc1
94,*CCCC(=O)[O-],*c1cc2c(cc1C)OCC1=NNC(=O)[C@@H](C)N12,Cc1cc2c(cc1CCCC(=O)[O-])N1C(=NNC(=O)[C@H]1C)CO2
95,*NC,*NCCSC(=O)CC,CCC(=O)SCCNNC
96,*N1CC[C@H](F)C1,*C(=O)c1cnc(N[C@H](C)CC)s1,CC[C@@H](C)Nc1ncc(C(=O)N2CC[C@H](F)C2)s1
97,*Cc1ccc(C(F)(F)F)cc1,*n1ccc(=O)c(-c2ccnn2-c2cccc(C#N)c2)n1,N#Cc1cccc(-n2nccc2-c2nn(Cc3ccc(C(F)(F)F)cc3)ccc2=O)c1
98,*C(=O)c1cn(C)c2ccc(-c3ccn4nc(NC(=O)C(C)C)nc4c3)cc12,*C1CC(F)(F)C1,CC(C)C(=O)Nc1nc2cc(-c3ccc4c(c3)c(C(=O)C3CC(F)(F)C3)cn4C)ccn2n1
99,*c1cnc2n1CCC2,*n1c(N2CCNCC2)nc2c(C3CCNCC3)cc(Cl)cc21,Clc1cc(C2CCNCC2)c2nc(N3CCNCC3)n(-c3cnc4n3CCC4)c2c1
100,*C(C)(C)C(=O)[O-],*n1c(=O)[nH]c2c3cccnc3n(-c3ccccc3)c(=O)c21,CC(C)(C(=O)[O-])n1c(=O)[nH]c2c3cccnc3n(-c3ccccc3)c(=O)c21
101,*Cc1cccc(CNC)c1,*CC(=O)Nc1ccc(OCCC)c(-c2nc(CC)c(CC)c(=O)[nH]2)c1,CCCOc1ccc(NC(=O)CCc2cccc(CNC)c2)cc1-c1nc(CC)c(CC)c(=O)[nH]1
102,*c1cc(Cl)nc(SCC(=O)O)n1,*c1cc(F)ccc1C(F)(F)F,O=C(O)CSc1nc(Cl)cc(-c2cc(F)ccc2C(F)(F)F)n1
103,*C(=O)c1ccc2cc3c(nc2c1)CCCC3,*CCCCCCNC(=O)CCC(=O)O,O=C(O)CCC(=O)NCCCCCCC(=O)c1ccc2cc3c(nc2c1)CCCC3
104,*S(=O)(=O)c1ccc2nc(N(C)C3CCN(C)CC3)nc(N(C)CC)c2c1,*c1cnc(N)nc1,CCN(C)c1nc(N(C)C2CCN(C)CC2)nc2ccc(S(=O)(=O)c3cnc(N)nc3)cc12
105,*c1ccc(O)cc1,*C[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)CC(C)=CC(=O)O,CC(=CC(=O)O)C[C@H](C)[C@@H](O)[C@H](C)C(=O)[C@H](C)Cc1ccc(O)cc1
106,*C(C)(C)C(=O)O,*Cc1cnn(Cc2ccc(Cl)cc2)c1,CC(C)(Cc1cnn(Cc2ccc(Cl)cc2)c1)C(=O)O
107,*N1CCC(O)CC1,*N[C@@H](C)c1ccccc1,C[C@H](NN1CCC(O)CC1)c1ccccc1
108,*n1cnc(C)c1,*n1c(N)nc2ccccc21,Cc1cn(-n2c(N)nc3ccccc32)cn1
109,*N[C@@H](CC(C)C)C(=O)N[C@H](CO)C[C@@H]1CCNC1=O,*NCCCc1cccc(Oc2ccccc2)c1,CC(C)C[C@H](NNCCCc1cccc(Oc2ccccc2)c1)C(=O)N[C@H](CO)C[C@@H]1CCNC1=O
110,*n1cnc2ccccc21,*n1cc(NC(=O)c2n[nH]c3c2CCC(C)(C)C3)cn1,CC1(C)CCc2c(C(=O)Nc3cnn(-n4cnc5ccccc54)c3)n[nH]c2C1
111,*[C@@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O,*n1c(CCC)nc2c(C)cccc21,CCCc1nc2c(C)cccc2n1[C@@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O
112,*C(=O)CCCCCCC(=O)NO,*c1ccc(Cl)cc1Cl,O=C(CCCCCCC(=O)c1ccc(Cl)cc1Cl)NO
113,*[C@@H]1CCc2ccccc21,*c1ccc(OC)c(OC)c1,COc1ccc([C@@H]2CCc3ccccc32)cc1OC
114,*OC(C)(C)C,*C[C@@H](N)O,CC(C)(C)OC[C@@H](N)O
115,*C(CO)(CO)CO,*c1cc(=O)n(-c2ccccc2)nc1-c1nnc[nH]1,O=c1cc(C(CO)(CO)CO)c(-c2nnc[nH]2)nn1-c1ccccc1
116,*n1nc(C)cc1C,*c1cc2c(cc1C)OCC1=NNC(=O)[C@@H](C)N12,Cc1cc(C)n(-c2cc3c(cc2C)OCC2=NNC(=O)[C@@H](C)N23)n1
117,*C(=O)[C@H]1CCCN1C(=O)[C@@H](C)CS,*C(=O)NC1CCC1,C[C@@H](CS)C(=O)N1CCC[C@@H]1C(=O)C(=O)NC1CCC1
118,*n1cnc(-c2ccc(F)cc2)c1-c1ccncc1,*c1nc(-n2nc(C)cc2C)ncc1Cl,Cc1cc(C)n(-c2ncc(Cl)c(-n3cnc(-c4ccc(F)cc4)c3-c3ccncc3)n2)n1
119,*CCc1nc(-c2ccccc2)oc1C,*[C@H](CS(=O)(=O)C(C)(C)C)C1CC1,Cc1oc(-c2ccccc2)nc1CC[C@H](CS(=O)(=O)C(C)(C)C)C1CC1
120,*C(=O)[C@@](C)(O)c1ccccc1,*c1ccnc(-c2cnn(C)c2)c1,Cn1cc(-c2cc(C(=O)[C@@](C)(O)c3ccccc3)ccn2)cn1
121,*c1nc2ccccc2c2nc(C)nn12,*C(=O)CC#N,Cc1nc2c3ccccc3nc(C(=O)CC#N)n2n1
122,*c1c(-c2cccnc2)nn2c1COCC2,*C(=O)Cn1ccc2c(=O)n(C)ccc21,Cn1ccc2c(ccn2CC(=O)c2c(-c3cccnc3)nn3c2COCC3)c1=O
123,*C(C)(C)c1ncccn1,*c1cn2c(n1)sc1cc(OCCN3CCOCC3)ccc12,CC(C)(c1cn2c(n1)sc1cc(OCCN3CCOCC3)ccc12)c1ncccn1
124,*Nc1ccc(C)c(C(=O)Nc2cnc3[nH]c(-c4ccccc4)nc3c2)c1,*c1nnc(C)o1,Cc1nnc(Nc2ccc(C)c(C(=O)Nc3cnc4[nH]c(-c5ccccc5)nc4c3)c2)o1
125,*C[C@H](O)CO,*c1cnc2[nH]ccc2c1,OC[C@@H](O)Cc1cnc2[nH]ccc2c1
126,*c1ncnc2ccc(N)cc12,*C(=O)CN,NCC(=O)c1ncnc2ccc(N)cc12
127,*c1cccc(C)c1,*c1ncc(Cl)c(Nc2ccc3c(c2)CC(=O)N3)n1,Cc1cccc(-c2ncc(Cl)c(Nc3ccc4c(c3)CC(=O)N4)n2)c1
128,*c1ccn2nc(NC(=O)C3CC3)nc2c1,*c1ccc(Cc2c[nH]c3ncc(OC)cc23)cn1,COc1cnc2[nH]cc(Cc3ccc(-c4ccn5nc(NC(=O)C6CC6)nc5c4)nc3)c2c1
129,*CCOCC,*c1cc(N2CCN[C@@H](Cc3ccccc3)C2)nnc1-c1ccc2ccccc2c1,CCOCCc1cc(N2CCN[C@@H](Cc3ccccc3)C2)nnc1-c1ccc2ccccc2c1
130,*Nc1cccc(C(=O)Nc2ccccc2)c1,*c1cccc2c(N)nccc12,Nc1nccc2c(Nc3cccc(C(=O)Nc4ccccc4)c3)cccc12
131,*c1ccn2nc(NC(=O)C(C)C)nc2c1,*N1CCN(c2ccccc2[N+](=O)[O-])CC1,CC(C)C(=O)Nc1nc2cc(N3CCN(c4ccccc4[N+](=O)[O-])CC3)ccn2n1
132,*N1C[C@H](O)[C@@H](CO)C1,*c1c(C#N)c(N)nc2ccccc12,N#Cc1c(N)nc2ccccc2c1N1C[C@H](O)[C@@H](CO)C1
133,*C(=O)NCC(C)(F)F,*C(=O)[C@@H](N)CC(=O)NO,CC(F)(F)CNC(=O)C(=O)[C@@H](N)CC(=O)NO
134,*Nc1ccc(C)c(Nc2nc(-c3cccnc3)nc3c2cnn3C)c1,*N1CCC2(CCNC2=O)CC1,Cc1ccc(NN2CCC3(CCNC3=O)CC2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C
135,*C(=O)c1cccnc1,*[C@H](C)c1ccc(C(F)(F)F)cc1,C[C@@H](C(=O)c1cccnc1)c1ccc(C(F)(F)F)cc1
136,*[C@@H]1Cc2ccc(C(=O)Nc3cc(-n4cnc(C)c4)cc(C(F)(F)F)c3)cc2C1,*n1ccc(N)nc1=O,Cc1cn(-c2cc(NC(=O)c3ccc4c(c3)C[C@H](n3ccc(N)nc3=O)C4)cc(C(F)(F)F)c2)cn1
137,*C(=O)CCCCCCCCCC,*n1nc(C(C)C)c2c(C(=O)[O-])cc(C)nc21,CCCCCCCCCCC(=O)n1nc(C(C)C)c2c(C(=O)[O-])cc(C)nc21
138,*c1nc(-c2cccnc2)nc2c1cnn2C,*OCC,CCOc1nc(-c2cccnc2)nc2c1cnn2C
139,*C(=O)c1cnc(N[C@H](C)CC)s1,*Nc1cnn(Cc2cccc(C#N)c2)c1,CC[C@@H](C)Nc1ncc(C(=O)Nc2cnn(Cc3cccc(C#N)c3)c2)s1
140,*c1c(Cl)cc(Cl)cc1OCCn1cccn1,*c1cn(C)cn1,Cn1cnc(-c2c(Cl)cc(Cl)cc2OCCn2cccn2)c1
141,*n1ncc2c(=O)[nH]c(Cc3ccccc3)nc21,*C(=O)CCNc1ccccc1,O=C(CCNc1ccccc1)n1ncc2c(=O)[nH]c(Cc3ccccc3)nc21
142,*Cc1cc(C)c(OC(C)(C)C(=O)[O-])c(C)c1,*N[C@H]1CO[C@H](CO)[C@H](O)[C@@H]1O,Cc1cc(CN[C@H]2CO[C@H](CO)[C@H](O)[C@@H]2O)cc(C)c1OC(C)(C)C(=O)[O-]
143,*n1nncc1CNC(=O)c1ccc(F)cc1,*Nc1ccc(C)cc1C(=O)O,Cc1ccc(Nn2nncc2CNC(=O)c2ccc(F)cc2)c(C(=O)O)c1
144,*Nc1ccc2ccccc2c1,*c1ccco1,c1coc(Nc2ccc3ccccc3c2)c1
145,*[C@H](C)c1cccc(C#N)c1C,*CCN1CCOCC1,Cc1c(C#N)cccc1[C@@H](C)CCN1CCOCC1
