id,frag1,frag2,new_smiles
31,*c1cc(CCC)c(O)cc1O,*N1C[C@H]2CCCC[C@@H]2C[C@H]1CN[C@H](C=O)Cc1cnc[nH]1,CCCc1cc(N2C[C@H]3CCCC[C@@H]3C[C@H]2CN[C@H](C=O)Cc2cnc[nH]2)c(O)cc1O
32,*[C@H]1CC[C@H](O)CC1,*N1CCC(n2cccc2)CC1,O[C@H]1CC[C@H](N2CCC(n3cccc3)CC2)CC1
33,*[C@@H](C)c1ccc(Cl)cc1,*C(=O)[C@H]1C[C@@H]1c1ccc(CN(C)C)cc1,C[C@H](C(=O)[C@H]1C[C@@H]1c1ccc(CN(C)C)cc1)c1ccc(Cl)cc1
34,*Nc1cccc2cc(C(=O)NC(C)C)[nH]c12,*n1cnc2cc(C(C)(C)C)ccc2c1=O,CC(C)NC(=O)c1cc2cccc(Nn3cnc4cc(C(C)(C)C)ccc4c3=O)c2[nH]1
35,*N=C1C(=O)Nc2ccc(C(=O)O)cc21,*CCCOc1ccc(OC)cc1,COc1ccc(OCCCN=C2C(=O)Nc3ccc(C(=O)O)cc32)cc1
36,*n1nc(-c2ccccc2OCCCC(=O)[O-])cc1-c1ccccc1,*c1noc(=O)[nH]1,O=C([O-])CCCOc1ccccc1-c1cc(-c2ccccc2)n(-c2noc(=O)[nH]2)n1
37,*c1c(-c2ccncc2)n(O)c2cccnc12,*n1cccn1,On1c(-c2ccncc2)c(-n2cccn2)c2ncccc21
38,*Nc1ccc(-c2csc3ncnc(N)c23)cc1,*C(=O)[C@@](C)(O)c1ccccc1,C[C@@](O)(C(=O)Nc1ccc(-c2csc3ncnc(N)c23)cc1)c1ccccc1
39,*N1CCN(C)C(=O)C1,*Nc1ccc(C)c(-n2cc3cnc(N)nc3[n+](C)c2=O)c1,Cc1ccc(NN2CCN(C)C(=O)C2)cc1-n1cc2cnc(N)nc2[n+](C)c1=O
40,*c1[nH]c(SC)nc1-c1ccc(F)cc1,*C(=O)C1CC1,CSc1nc(-c2ccc(F)cc2)c(C(=O)C2CC2)[nH]1
41,*N1CC2(CNC2)C1,*n1nc(CO)c2c(=O)[nH]c(=O)[nH]c21,O=c1[nH]c(=O)c2c(CO)nn(N3CC4(CNC4)C3)c2[nH]1
42,*N1CCNCC1,*c1ccnc2cc(OCCCN3CCOCC3)c(OC)cc12,COc1cc2c(N3CCNCC3)ccnc2cc1OCCCN1CCOCC1
43,*N1C[C@@H](C)[C@H](c2nc3c(cnn3C3CCOCC3)c(=O)[nH]2)C1,*c1nnc(C)s1,Cc1nnc(N2C[C@@H](C)[C@H](c3nc4c(cnn4C4CCOCC4)c(=O)[nH]3)C2)s1
44,*n1c(N2CC3(CNC3)C2)nc2c(-c3c(C)n[nH]c3C)cc(Cl)cc21,*[C@H]1C[C@H](O)[C@@H](CO)O1,Cc1n[nH]c(C)c1-c1cc(Cl)cc2c1nc(N1CC3(CNC3)C1)n2[C@H]1C[C@H](O)[C@@H](CO)O1
45,*c1noc(=O)[nH]1,*NCCC(=O)NCCSC(=O)CCC,CCCC(=O)SCCNC(=O)CCNc1noc(=O)[nH]1
46,*c1cc(-c2ccc3c(N)[nH]nc3c2)nc(N)n1,*C(=O)CCCN(C)C,CN(C)CCCC(=O)c1cc(-c2ccc3c(N)[nH]nc3c2)nc(N)n1
47,*c1ccnc2nc(-c3ccc(C(=O)N4CCOCC4)cc3)[nH]c12,*c1ccc(Br)cc1,O=C(c1ccc(-c2nc3nccc(-c4ccc(Br)cc4)c3[nH]2)cc1)N1CCOCC1
48,*CC[C@@H]1CCCN1C,*C(=O)c1cc(NC(=O)C=Cc2ccccc2)ccc1C,Cc1ccc(NC(=O)C=Cc2ccccc2)cc1C(=O)CC[C@@H]1CCCN1C
49,*N1CCN(c2ncnc3sc(CC(F)(F)F)cc23)CC1,*NCCCCCO,OCCCCCNN1CCN(c2ncnc3sc(CC(F)(F)F)cc23)CC1
50,*N,*n1nc(N)c(C(=N)NCc2ccccc2OC)n1,COc1ccccc1CNC(=N)c1nn(N)nc1N
51,*c1ccnc(N(C)C)n1,*c1cc(C)cc2c1O[C@H](C1CCOCC1)C=C2O,Cc1cc2c(c(-c3ccnc(N(C)C)n3)c1)O[C@H](C1CCOCC1)C=C2O
52,*c1ccc2nc(NC)ncc2c1,*[C@H](C)CC,CC[C@@H](C)c1ccc2nc(NC)ncc2c1
53,*Nc1ccc2[nH]c(=O)c3ccccc3c2c1,*c1ccccn1,O=c1[nH]c2ccc(Nc3ccccn3)cc2c2ccccc12
54,*c1cccc(C(F)(F)F)c1,*C(=O)c1ccc2n[nH]cc2c1,O=C(c1cccc(C(F)(F)F)c1)c1ccc2n[nH]cc2c1
55,*N[C@H]1COc2ccc(C#CC3CCOCC3)cc2N(C)C1=O,*C(=O)c1nc(Cc2ccccc2)n[nH]1,CN1C(=O)[C@@H](NC(=O)c2nc(Cc3ccccc3)n[nH]2)COc2ccc(C#CC3CCOCC3)cc21
56,*c1cc(Cl)ccc1CC(=O)NC(C)(C)C,*c1nccc(NC)n1,CNc1ccnc(-c2cc(Cl)ccc2CC(=O)NC(C)(C)C)n1
57,*C(=O)c1cccc2c(N)nc(C)nc12,*CCC=CCCCC(=O)O,Cc1nc(N)c2cccc(C(=O)CCC=CCCCC(=O)O)c2n1
58,*NCCCNC(=O)OC(C)(C)C,*[C@H]1CC[C@@H](CO)O1,CC(C)(C)OC(=O)NCCCN[C@H]1CC[C@@H](CO)O1
59,*N=O,*CCCC,CCCCN=O
60,*N1C[C@H](C)O[C@H](C)C1,*c1ccc(C(=O)NCC2CC2)cc1,C[C@H]1CN(c2ccc(C(=O)NCC3CC3)cc2)C[C@@H](C)O1
61,*N1CCc2cc(N(C)C)ccc2C1=O,*c1c(-c2ccc(F)cc2)c2ncccc2n1O,CN(C)c1ccc2c(c1)CCN(c1c(-c3ccc(F)cc3)c3ncccc3n1O)C2=O
62,*C(=O)CCc1cn(S(=O)(=O)c2ccc(OC)cc2)c2ccc(OC)cc12,*c1ccccn1,COc1ccc(S(=O)(=O)n2cc(CCC(=O)c3ccccn3)c3cc(OC)ccc32)cc1
63,*c1ncnc2ccc(NC(=O)CCN3CCN(C)CC3)cc12,*c1csnn1,CN1CCN(CCC(=O)Nc2ccc3ncnc(-c4csnn4)c3c2)CC1
64,*c1ccc([S@](C)=O)cc1,*c1nc(C)nc2cc(OC)c(OC)cc12,COc1cc2nc(C)nc(-c3ccc([S@](C)=O)cc3)c2cc1OC
65,*c1ncccc1-c1ncnc(Nc2ccc(OC)cc2)n1,*CCN1CCCCC1,COc1ccc(Nc2ncnc(-c3cccnc3CCN3CCCCC3)n2)cc1
66,*n1cc(Cn2ccc(=O)[nH]c2=O)nn1,*[C@H]1CCOC1,O=c1ccn(Cc2cn([C@H]3CCOC3)nn2)c(=O)[nH]1
67,*NC1CCN(Cc2c[nH]c3ccccc23)CC1,*c1ccc2nccnc2c1,c1ccc2c(CN3CCC(Nc4ccc5nccnc5c4)CC3)c[nH]c2c1
68,*C1CCCC1,*c1nc(COc2ccc(C[C@H](OCC)C(=O)O)c(C)c2)cs1,CCO[C@@H](Cc1ccc(OCc2csc(C3CCCC3)n2)cc1C)C(=O)O
69,*Cc1ccc(Cl)cc1,*Nc1cc(N2CC[C@H](C(C)(C)O)C2)cnc1C(F)(F)F,CC(C)(O)[C@H]1CCN(c2cnc(C(F)(F)F)c(NCc3ccc(Cl)cc3)c2)C1
70,*Cc1cnccn1,*C1C[C@@H](O)C(=CCO)[C@H](O)C1,OCC=C1[C@H](O)CC(Cc2cnccn2)C[C@H]1O
71,*OCC,*C(=O)N[C@@H]1CCCCc2cc(-c3ccnc(Nc4cnn(C)c4)n3)ccc21,CCOC(=O)N[C@@H]1CCCCc2cc(-c3ccnc(Nc4cnn(C)c4)n3)ccc21
72,*Cc1ccc2c(cc(C#N)n2C[C@H]2CNC(=O)CO2)c1C,*C(=O)c1ccc(F)c(Cl)c1,Cc1c(CC(=O)c2ccc(F)c(Cl)c2)ccc2c1cc(C#N)n2C[C@H]1CNC(=O)CO1
73,*c1cccc(NC(=O)c2ccc(C(C)(C)C)cc2)c1,*CCC(CO)CO,CC(C)(C)c1ccc(C(=O)Nc2cccc(CCC(CO)CO)c2)cc1
74,*Nc1cnc2cc(Cl)nn2c1[C@@H](OC)[C@@H](C)OC,*[C@H](C)c1cc(N)cc(C(F)(F)F)c1,CO[C@H](C)[C@H](OC)c1c(N[C@H](C)c2cc(N)cc(C(F)(F)F)c2)cnc2cc(Cl)nn12
75,*N1C[C@H](C)O[C@H](C)C1,*[C@H](C)c1cccc(C(F)(F)F)c1,C[C@H]1CN([C@H](C)c2cccc(C(F)(F)F)c2)C[C@@H](C)O1
76,*C(=O)c1cnc2onc(C(C)C)c2c1,*c1cc(Cl)nn2c(-c3ccc4n[nH]cc4c3)cnc12,CC(C)c1noc2ncc(C(=O)c3cc(Cl)nn4c(-c5ccc6n[nH]cc6c5)cnc34)cc12
77,*c1nc(N2C[C@H](C)O[C@H](C)C2)ncc1Cl,*c1nc(NC(C)=O)[nH]c1-c1ccc2nccnc2c1,CC(=O)Nc1nc(-c2nc(N3C[C@H](C)O[C@H](C)C3)ncc2Cl)c(-c2ccc3nccnc3c2)[nH]1
78,*c1ccc(N2CCOCC2)cc1,*OC[C@H](O)CO,OC[C@@H](O)COc1ccc(N2CCOCC2)cc1
79,*c1cc(Cl)nn2c(-c3ccc4n[nH]cc4c3)cnc12,*[C@H]1C[C@@H](C#N)C1,N#C[C@H]1C[C@@H](c2cc(Cl)nn3c(-c4ccc5n[nH]cc5c4)cnc23)C1
80,*C(=O)c1nc(C(C)(C)C)no1,*CCCCc1ccccc1,CC(C)(C)c1noc(C(=O)CCCCc2ccccc2)n1
81,*c1ccnc2[nH]ccc12,*C(=O)CCC,CCCC(=O)c1ccnc2[nH]ccc12
82,*n1cc(-c2cc(-c3cccc(C#N)c3C)nc(N)n2)nn1,*c1cccc(C)c1C,Cc1cccc(-n2cc(-c3cc(-c4cccc(C#N)c4C)nc(N)n3)nn2)c1C
83,*C(=O)CN1CCN(C)CC1,*C(C#N)C(=O)NCCN1CCOCC1,CN1CCN(CC(=O)C(C#N)C(=O)NCCN2CCOCC2)CC1
84,*S(=O)(=O)c1ccc(N)cc1,*c1cn(C)c(=O)c(Nc2ccc(C(=O)N3CCN(C)CC3)cc2)n1,CN1CCN(C(=O)c2ccc(Nc3nc(S(=O)(=O)c4ccc(N)cc4)cn(C)c3=O)cc2)CC1
85,*N1CCC[C@H]1C(=O)O,*c1ccc(C[C@H](OCC)C(=O)[O-])cc1,CCO[C@@H](Cc1ccc(N2CCC[C@H]2C(=O)O)cc1)C(=O)[O-]
86,*OC1CCCC1,*c1cccc(C2CCNCC2)c1,c1cc(OC2CCCC2)cc(C2CCNCC2)c1
87,*C(C)(C)C(=O)[O-],*c1cccc(C(C)=O)c1,CC(=O)c1cccc(C(C)(C)C(=O)[O-])c1
88,*N1CN(C)c2c1nc(N)[nH]c2=O,*c1ccc(-c2cnc3c(-c4ccnc5ccccc45)cnn3c2)cc1,CN1CN(c2ccc(-c3cnc4c(-c5ccnc6ccccc56)cnn4c3)cc2)c2nc(N)[nH]c(=O)c21
89,*c1cc(S(N)(=O)=O)sc1OCC,*Cc1ccc(N)c(C)c1,CCOc1sc(S(N)(=O)=O)cc1Cc1ccc(N)c(C)c1
90,*C(=O)C=Cc1ccccc1,*C[C@@H]1CCNC1,O=C(C=Cc1ccccc1)C[C@@H]1CCNC1
