id,frag1,frag2,new_smiles
31,*S(=O)(=O)CC,*c1c(C)nc2c(N3CCOCC3)nccn12,CCS(=O)(=O)c1c(C)nc2c(N3CCOCC3)nccn12
32,*N1CCC[C@H]1C=O,*c1ccc2[nH]c(N)c(C#N)c2c1,N#Cc1c(N)[nH]c2ccc(N3CCC[C@H]3C=O)cc12
33,*c1ccc2c(c1)=NC(=O)N=2,*c1ccc(CNCCc2nc3ccccc3[nH]2)cc1Cl,O=C1N=c2ccc(-c3ccc(CNCCc4nc5ccccc5[nH]4)cc3Cl)cc2=N1
34,*c1ccnc(Nc2ccc(C#N)cc2)n1,*Cc1cc(C)c(OC(C)(C)C(=O)[O-])c(C)c1,Cc1cc(Cc2ccnc(Nc3ccc(C#N)cc3)n2)cc(C)c1OC(C)(C)C(=O)[O-]
35,*n1ccnc1,*CCC(c1ccccc1)c1ccccc1,c1ccc(C(CCn2ccnc2)c2ccccc2)cc1
36,*C(=O)Cc1nc2nc(C)cc(C)n2n1,*CCC#N,Cc1cc(C)n2nc(CC(=O)CCC#N)nc2n1
37,*n1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21,*c1c(-c2ccc(F)cc2)ncn1C1CCNCC1,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)c2cc1C
38,*c1cnn(C)c1Oc1ccccc1,*N1CCC(NC(=O)[C@@H](N)Cc2c[nH]c3ccccc23)CC1,Cn1ncc(N2CCC(NC(=O)[C@@H](N)Cc3c[nH]c4ccccc34)CC2)c1Oc1ccccc1
39,*NCc1cc(C[C@@H](Cc2ccccc2)C(=O)O)ccc1OCCC,*CC(=O)[O-],CCCOc1ccc(C[C@@H](Cc2ccccc2)C(=O)O)cc1CNCC(=O)[O-]
40,*NCCN,*c1cnn(CC(C)(C)O)c1,CC(C)(O)Cn1cc(NCCN)cn1
41,*C(=O)C(O)(C(F)(F)F)C(F)(F)F,*NCCO,O=C(NCCO)C(O)(C(F)(F)F)C(F)(F)F
42,*S(=O)(=O)c1cc(Br)ccc1OC,*Cc1ccc(O)cc1,COc1ccc(Br)cc1S(=O)(=O)Cc1ccc(O)cc1
43,*O[C@@H](CO)COC(=O)CCCC,*C1CCNCC1,CCCCC(=O)OC[C@H](CO)OC1CCNCC1
44,*c1ccc(Br)cc1Br,*CCCCN,NCCCCc1ccc(Br)cc1Br
45,*C(F)(F)F,*c1ccc(-c2nc3ccc(F)cc3c(N[C@H](C)C(=O)[O-])c2C#N)cc1,C[C@@H](Nc1c(C#N)c(-c2ccc(C(F)(F)F)cc2)nc2ccc(F)cc12)C(=O)[O-]
46,*c1cnc(N(C)C)nc1OC,*NCCN,COc1nc(N(C)C)ncc1NCCN
47,*Nc1ccc2c(c1)CN(C)C(=O)N2,*c1ccc(OCc2cccnc2)c(CN)c1,CN1Cc2cc(Nc3ccc(OCc4cccnc4)c(CN)c3)ccc2NC1=O
48,*C[C@H](O)CO,*c1ncnc2cc(OC)c(OCCNc3nc4ccccc4s3)cc12,COc1cc2ncnc(C[C@H](O)CO)c2cc1OCCNc1nc2ccccc2s1
49,*c1cnc(C(N)=O)nc1,*C(=O)C1=C(C)N=C(C)[C@@H](C(=O)OCC)[C@@H]1c1cccc(Cl)c1Cl,CCOC(=O)[C@@H]1C(C)=NC(C)=C(C(=O)c2cnc(C(N)=O)nc2)[C@H]1c1cccc(Cl)c1Cl
50,*n1cc(-c2cccc(C(=O)N(C)C)c2)c2cc[nH]c2c1=O,*c1ccnc(Oc2ccccc2OC)n1,COc1ccccc1Oc1nccc(-n2cc(-c3cccc(C(=O)N(C)C)c3)c3cc[nH]c3c2=O)n1
51,*C(=O)O[C@H](CC)c1cc(-c2ccc(OC(C)(C)C(=O)O)cc2)no1,*C(=S)NCc1ccco1,CC[C@@H](OC(=O)C(=S)NCc1ccco1)c1cc(-c2ccc(OC(C)(C)C(=O)O)cc2)no1
52,*c1ccc2c3c(cccc13)C(=O)N2CC,*C(=O)COc1cccc(F)c1,CCN1C(=O)c2cccc3c(C(=O)COc4cccc(F)c4)ccc1c23
53,*CCCC(C)=CCS[P@](=O)(O)OP(=O)(O)O,*N[C@@H]1[C@H]2COC[C@H]21,CC(=CCS[P@](=O)(O)OP(=O)(O)O)CCCN[C@@H]1[C@H]2COC[C@H]21
54,*c1ccc2nc(C)c(C)n2n1,*n1nnc(C)c1-c1cccc(Oc2cc(C)cc(C)c2)n1,Cc1cc(C)cc(Oc2cccc(-c3c(C)nnn3-c3ccc4nc(C)c(C)n4n3)n2)c1
55,*c1cc(NS(=O)(=O)CC)ccc1Oc1ccc(F)cc1F,*S(=O)(=O)c1cccs1,CCS(=O)(=O)Nc1ccc(Oc2ccc(F)cc2F)c(S(=O)(=O)c2cccs2)c1
56,*CCCc1ccccc1,*S(=O)(=O)c1ccc(F)cc1C,Cc1cc(F)ccc1S(=O)(=O)CCCc1ccccc1
57,*C[C@@H](O)c1cccc(OC)c1,*c1ncc[nH]1,COc1cccc([C@H](O)Cc2ncc[nH]2)c1
58,*c1ccccc1F,*C(=O)c1onc2ccccc12,O=C(c1ccccc1F)c1onc2ccccc12
59,*c1cccc(CN2CCC[C@H](n3cc(C)c(=O)[nH]c3=O)C2)c1,*CCOC,COCCc1cccc(CN2CCC[C@H](n3cc(C)c(=O)[nH]c3=O)C2)c1
60,*C[C@H]1CC[C@H](C(=O)O)CC1,*c1c[nH]nc1C,Cc1n[nH]cc1C[C@H]1CC[C@H](C(=O)O)CC1
61,*C(=O)c1c(C(=O)OCC)cnn1C,*N1CCN(Cc2ccccc2)CC1,CCOC(=O)c1cnn(C)c1C(=O)N1CCN(Cc2ccccc2)CC1
62,*C(=O)c1cc2ccccc2o1,*c1ccc2c(c1)C(C)(C)OC(=S)N2,CC1(C)OC(=S)Nc2ccc(C(=O)c3cc4ccccc4o3)cc21
63,*c1cccc([C@@H](C)Nc2nc(C)nc3cc(OC)c(OC)cc23)c1,*N1CCO[C@@H]2CCC[C@H]21,COc1cc2nc(C)nc(N[C@H](C)c3cccc(N4CCO[C@@H]5CCC[C@H]54)c3)c2cc1OC
64,*c1csc(NC(=O)Cc2ccc(F)cc2)n1,*c1ccccc1O,O=C(Cc1ccc(F)cc1)Nc1nc(-c2ccccc2O)cs1
65,*N[C@@H](CO)[C@H](O)CCCCCCCCCCCCCCC,*CCOCCOCCOCCOC,CCCCCCCCCCCCCCC[C@@H](O)[C@H](CO)NCCOCCOCCOCCOC
66,*c1nc2ccc(NC(=O)c3c(Cl)cnn3CC(C)C)cc2[nH]1,*C[C@H](O)CO,CC(C)Cn1ncc(Cl)c1C(=O)Nc1ccc2nc(C[C@H](O)CO)[nH]c2c1
67,*N[C@@H]1CCCc2c1cnn2-c1ccccc1F,*CCNCCO,OCCNCCN[C@@H]1CCCc2c1cnn2-c1ccccc1F
68,*N[C@@H](C[C@@H]1CCCNC1=O)[C@@H](O)C(=O)N1CCC1,*c1nc(-c2ccccc2)cs1,O=C1NCCC[C@H]1C[C@H](Nc1nc(-c2ccccc2)cs1)[C@@H](O)C(=O)N1CCC1
69,*S(=O)(=O)c1c(C)nn(C)c1Cl,*N1C=CCC(C(N)=O)=C1,Cc1nn(C)c(Cl)c1S(=O)(=O)N1C=CCC(C(N)=O)=C1
70,*Cc1ccc(OC)cc1,*c1nnc(-c2ccccc2)[nH]1,COc1ccc(Cc2nnc(-c3ccccc3)[nH]2)cc1
71,*c1ccnc(Oc2cc(C)cc(C)c2)n1,*C1CCN(CC)CC1,CCN1CCC(c2ccnc(Oc3cc(C)cc(C)c3)n2)CC1
72,*c1cccc(Nc2cc(C)cc(C)c2)n1,*c1cn[nH]c1,Cc1cc(C)cc(Nc2cccc(-c3cn[nH]c3)n2)c1
73,*c1nnc(C)c2ccc(N3CCNCC3)cc12,*CCCNC(=O)CC(=O)OC,COC(=O)CC(=O)NCCCc1nnc(C)c2ccc(N3CCNCC3)cc12
