fragment
*n1nc(C(C)(C)C)cc1NC(=O)NCCN1CCOCC1
*c1ccnc(N[C@@H](C)c2ccccc2)n1
*Cc1ccc(C(=O)Nc2ccc(C)c(Nc3ncccc3-c3ncnc(Nc4ccc(OC)cc4)n3)c2)cc1
*C(=O)c1cc(-c2c(O)cc(O)cc2Oc2ccc([N+](=O)[O-])cc2)on1
*C(=O)c1cnn2c(O)cc(-c3ccccc3)nc12
*C(=O)C(=O)O
*N1Cc2c([nH]c(=O)c(C#N)c2-c2ccc(C)cc2)[C@@H](CCC)C1
*C(=O)[C@@H]1CC[C@@H](CC)N1C(=O)C1=C(C(C)C)N2C(=N[C@@](C)(c3ccc(Cl)cc3)[C@H]2c2ccc(Cl)cc2)S1
*C(=O)c1ccc(C)c(Nc2nc(-c3cccnc3)nc3c2cnn3C)c1
*C(=O)N(CC(=O)O)Cc1cccc(OCc2nc(-c3ccc(Cl)cc3)oc2C)c1
*c1cnc2c(NCC3CC3)cc(Cl)nn12
*c1c(-c2ccc(F)cc2)c2ncccc2n1O
*c1cnc2[nH]ccc2c1
*n1nccc1-c1nn(-c2cccc(OC(F)(F)F)c2)ccc1=O
*c1ccc(C(=O)Nc2cc(-c3ccnc(NC)n3)c[nH]c2=O)cc1
*CCN1CCN(C)CC1
*NCc1ccccc1
*c1ccccn1
*c1ccc2c(C(=O)Nc3cnn([C@@H](CCN(C)C)c4ccccc4)c3)n[nH]c2c1
*n1cccn1
*C(=O)Cc1ccc(Cl)cc1-n1c(C2CCCCC2)nc(-c2nnn[nH]2)c1-c1ccc(F)c(Cl)c1
*CCc1ccc(OC(C)(C)C(=O)O)cc1
*Cc1cn([C@@H]2O[C@@H](CO)[C@H](O)[C@H]2O)nn1
*[C@H]1[C@H](O)[C@@H]2O[C@H]1c1ccccc12
*S(=O)(=O)c1c(C)cccc1C
*NC1CCN(C)CC1
*CC(=O)O[C@@H]1[C@@H](O)[C@@]2(CCC(=C)[C@@H](OC(C)=O)[C@H](C)Cc3ccccc3)O[C@H](C(=O)O)[C@@](O)(C(=O)O)[C@]1(C(=O)O)O2
*O[C@H](COC(=O)CCCCCCC)CO[P@@](=O)(O)O[C@H]1[C@H](O)[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H](O)[C@@H]1O
*C(=O)CCN1CCN(C)CC1
*c1ccc2c(c1)CCCC[C@H]2NC(=O)N1CC(OC(C)C)C1
*c1ncc2c(N3C[C@@H]4CC[C@H](C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F
*c1ccc2c(c1)c1c(c(=O)n2C)OCC[C@H](C2CC2)N1
*COc1ccc(Nc2cc(C(=O)N3CCC(CCN4CCCC4)CC3)ccc2C(=O)N2CCC(CCN3CCCC3)CC2)cc1
